Epoch,Train Loss,Validation Accuracy
1,0.1309,89.37
2,0.2717,99.69
3,0.0667,99.18
4,0.0257,99.18
5,0.0165,99.69
6,0.0010,99.59
7,0.0002,99.59
8,0.0002,99.59
9,0.0001,99.59
10,0.0001,99.59
